HD	Motif	kon	s.e..kon	koff	s.e..koff	KD	s.e..KD	Assay.year	KA	s.e.KA	reactant.half.life.min	residence.time.min	s.e. residence.time.min
AncZenHD	BM	1.03E+06	156000	1.71E-02	0.00136	1.77E-08	2.66E-09	2014	5.65E+07	8.49E+06	0.168403105	0.68	0.05
AncBcdHD	BM	2.11E+05	14300	2.58E-04	2.07E-05	1.23E-09	1.82E-10	2014	8.13E+08	1.20E+08	1.068879812	44.78	3.59
AncZenHD	ZM	1.05E+05	13400	1.14E-03	5.95E-05	1.15E-08	1.76E-09	2014	8.70E+07	1.33E+07	1.80789562	10.13	0.53
AncBcdHD	ZM	1.19E+05	21900	3.82E-03	0.000326	3.28E-08	3.30E-09	2014	3.05E+07	3.07E+06	1.182441454	3.02	0.26
AncZenHD-q50K	BM	6.47E+05	119000	6.28E-03	0.000196	1.06E-08	1.71E-09	2014	9.43E+07	1.52E+07	0.299053922	1.84	0.06
AncBcdHD-K50q	BM	1.72E+05	1000	7.39E-03	0.000235	4.30E-08	1.55E-09	2014	2.33E+07	8.38E+05	0.722479863	1.56	0.05
AncZenHD-q50K	ZM	1.22E+06	160000	1.90E-02	0.00163	1.66E-08	3.62E-09	2014	6.02E+07	1.31E+07	0.144405663	0.61	0.05
AncBcdHD-K50q	ZM	2.04E+06	690000	6.90E-03	2.50E-05	3.82E-09	1.30E-09	2014	2.62E+08	8.91E+07	0.106083131	1.67	0.01
AncZenHD-q50K	BM	1.96E+05	7500	1.51E-03	0.000155	7.74E-09	1.11E-09	2015	1.29E+08	1.85E+07	1.021437048	7.65	0.79
AncZenHD-q50K	ZM	7.38E+05	20000	3.12E-02	0.00165	4.21E-08	1.10E-09	2015	2.38E+07	6.21E+05	0.169639545	0.37	0.02
